//In	IIndex	DefA	IncDmgA	IncDmgB	DecDmgA	DecDmgB	Opt1	Opt1	Opt2	Opt2   	Opt3	Opt3	NewOpt1	NewOpt1	NewOpt2	NewOpt2	NewOpt3	NewOpt3	NewOpt4	NewOpt4	ModelType	ModelName
//37      6329    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       0           "wing808"
//38      6330    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       1           "wing809"
//43      6331    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       0           "wing810"
//44      6332    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       0           "Wing200"
//45      6333    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       0           "USK_War2.0Wings"
//46      6334    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       1           "USK_War2.0Cloak"
//47      6335    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       0           "wings2010"
//48      6336    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       0           "Wing205"
//49      6337    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       1           "wing2011"
//50      6338    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       0           "wing20000"
//51      6339    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       1           "wing1800"
//52      6340    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       0           "Wing24321"
//53      6341    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       1           "Wing2445"
//54      6342    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       1           "wing18000"
//55      6343    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       0           "wing1560"
//56      6344    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       0           "wing2343"
//57      6345    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       1           "wing811"
//=================================================================================================================================================================================================================================================
// Custom FLAGS BETELL HOST
//=================================================================================================================================================================================================================================================
//In	IIndex	DefA	IncDmgA	IncDmgB	DecDmgA	DecDmgB	                Opt1	Opt1	Opt2	Opt2   	Opt3	Opt3	NewOpt1	NewOpt1	NewOpt2	NewOpt2	NewOpt3	NewOpt3	NewOpt4	NewOpt4	ModelType	ModelName         Class
37		6329	    30	    145     2       65      2	    80	    4	    85	    1	    83	    4	    110	    5	    111	    5	    109		5		108		5	    0	        	"flagvip1"    	//All
38		6330	    30	    145     2       65      2	    80	    4	    85	    1	    83	    4	    110	    5	    111	    5	    109		5		108		5	    0	        	"flagvip2"    	//All
39		6331	    30	    145     2       65      2	    80	    4	    85	    1	    83	    4	    110	    5	    111	    5	    109		5		108		5	    0	        	"flagvip3"    	//All
40		6332	    30	    145     2       65      2	    80	    4	    85	    1	    83	    4	    110	    5	    111	    5	    109		5		108		5	    0	        	"flagvip4"    //All
41		6333	    30	    145     2       65      2	    80	    4	    85	    1	    83	    4	    110	    5	    111	    5	    109		5		108		5	    0	            "flagvip5"    //All
42      6334      4       139     2       61      2       80      4       85      1       83      4       108     5       106     5       107     5       111     5       0          	    "flagvip6"
43      6335      4       139     2       61      2       80      4       85      1       83      4       108     5       106     5       107     5       111     5       0          	    "flagvip7"
44      6336      4       139     2       61      2       80      4       85      1       83      4       108     5       106     5       107     5       111     5       0          	    "flagvip8"
45      6337    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       0           "USK_War2.0Wings"
46      6338    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       1           "USK_War2.0Cloak"
47      6339    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       0           "wing20000"
48      6340    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       1           "wing1800"
49      6341    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       0           "Wing24321"
50      6342    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       1           "Wing2445"
51      6343    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       1           "wing18000"
52      6344    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       0           "wing1560"
53      6345    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       0           "wing2343"
54      6346    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       1           "wing811"
55      6347    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       0           "wing812"
56      6348    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       0           "wing813"
57      6349    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       1           "wing814"
58      6350    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       0           "wing815"
59      6351    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       1           "wing816"
60      6352    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       0           "wing817"
61      6353    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       0           "wing818"
62      6354    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       0           "wing819"
63      6355    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       1           "wing821"
64      6356    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       0           "wing822"
65      6357    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       0           "wing824"
66      6358    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       1           "wing825"
67      6359    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       0           "wing826"
68      6360    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       1           "wing827"
69      6361    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       0           "wing828"
70      6362    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       1           "wing829"
71      6363    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       0           "wing830"
72      6364    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       1           "wing831"
73      6365    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       0           "wing832"
74      6366    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       1           "wing833"
75      6367    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       0           "wing834"
76      6368    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       1           "wing835"
77      6369    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       1           "wing836"
78      6370    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       0           "wing839"
79      6371    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       0           "wing840"
80      6372    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       1           "wing841"
81      6373    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       0           "wing842"
82      6374    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       1           "wing843"
//83      6375    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       0           "wing844"
//84      6376    4       139     2       61      2       80      4       85      1       83      4       110     5       111     5       109     5       108     5       1           "wing845"
end
