//=========================================================================================================================================
// NHServers Betell Host www.betellhost.com.br
//=========================================================================================================================================
//Index   Message
337       "[Kanturu Event] Refinamento Torre será encerrado em 20 minutos"
338       "[Kanturu Event] Portal será aberto em 1 minuto"
339       "[Kanturu Event] Batalha contra Boss Maya vai começar em breve, prepare-se"
340       "[Kanturu Event] Próxima batalha vai começar em 1 minuto"
341       "[Kanturu Event] Boss Nightmare retornou! Derrote-o para liberar a torre de refinamento"
342       "[Kanturu Event] Boss Nightmare foi derrotado! A torre esta liberada"
343       "O tempo está acima, você será removido do evento"
352       "[Castle Deep] Começará em 5 minuto(s)"
353       "[Castle Deep] Começou"
354       "[Castle Deep] Terminou"
355       "Erohim foi morto por [%s]"
356       "[%s] morto por jogador [%s]"
368       "[Crywolf Event] Balgass uniu-se com exército de Kundun e vai atacar a fortaleza de Crywolf"
369       "[Crywolf Event] Armada de Balgass está pronto para atacar a fortaleza de Crywolf"
370       "[Crywolf Event] Armada de Balgass está marchando para a fortaleza de Crywolf"
371       "[Crywolf Event] Armada de Balgass está se aproximando da fortaleza Crywolf"
372       "[Crywolf Event] A Elfa não se conectou ao altar, deixando estátua do lobo desprotegida"
373       "[Crywolf Event] Balgass estará vivo até o final da batalha"
374       "[Crywolf Event] Defesa falhou! Estátua do lobo sagrado foi destruida por Balgass"
375       "[Crywolf Event] Defesa foi um sucesso! Estátua de lobo sagrado foi protegido"
376       "[Crywolf Event] Período de Conexão com Altar do Lobo começará em %d segundo(s)"
377       "[Crywolf Event] Período de Conexão com Altar do Lobo começará em %d minuto(s)"
378       "[Crywolf Event] Armada de Balgass vai atacar em %d segundo(s)"
379       "[Crywolf Event] Armada de Balgass vai atacar em %d minuto(s)"
380       "[Crywolf Event] Sem a proteção da estátua élfica o lobo santo estará desprotegido"
381       "[Crywolf Event] Balgass está chegando! Proteja estátua do Lobo Santo"
382       "[Crywolf Event] Armada de Balgass começou a atacar estátua do Lobo Santo"
383       "[Crywolf Event] Armada de Balgass foi derrotada com a ajuda dos heróis"
384       "[Crywolf Event] MvP Rank: %d"
385       "[Crywolf Event] MvP Experiência: %d"
386       "[Crywolf Event] Balgass foi morto por [%s]!"
387       "[Crywolf Event] Balgass estava morto!"
388       "[Crywolf Event] Dark Elf [ %d ] foi morta por [%s]!"
389       "[Crywolf Event] MvP Point: %d"
390       "[Crywolf Event] Conectado ao altar %d"
391       "[Crywolf Event] %s está ligado ao altar %d"
392       "[Crywolf Event] Altar foi conectado %d"
393       "[Crywolf Event] Período de Ligação ao pedestal %d não começou ainda"
394       "[Crywolf Event] Altar %d já conectou mais de 2 vezes"
395       "[Crywolf Event] Posição para se conectar ao altar %d está errado"
396       "[Crywolf Event] %s está tentando se conectar ao altar %d"
397       "[Crywolf Event] Você será conectado ao altar em 5 segundo(s)"
398       "[Crywolf Event] Não se mexa até que a conexão estar completa"
399       "[Crywolf Event] Ligação ao altar %d foi cancelada"
400       "[Crywolf Event] Estátua da barreira deo Lobo Santa desapareceu"
401       "[Crywolf Event] Número de conexões: %d, estátua da Vida: %d"
402       "[Crywolf Event] Barreira para estátua do Lobo Santo foi criado"
403       "[Crywolf Event] Conexão requer um nível de 260 ou superior"
416       "[Castle Siege] terminou"
417       "Período de inscrição Castle Siege começou"
418       "Registro de Castle Siege emblemas por período iniciado"
419       "Período de seleção de alianças Castle Siege começou"
420       "Seleção do Castelo Siege alianças concluída"
421       "Período de preparação para Castle Siege começou"
422       "[Castle Siege] Começará em %d minuto(s)"
423       "[Castle Siege] Está sendo disputada"
424       "Aliança [%s] foi bem sucedido na defesa do castelo"
425       "Aliança [%s] se tornou o novo dono do castelo"
426       "Dono do castelo não foi definido"
427       "Só Estátua do guardião esquerda"
432       "Posição do jogador [%s] foi alterado para Guild Assistente Líder"
433       "Posição do jogador [%s] foi alterado para Battlemaster"
434       "Posição do jogador [%s] foi alterado para Guild Member"
435       "Tipo de clã [%s] foi alterado para [ %d ]"
436       "Guild entrou na aliança [%s]"
437       "Guild é agora inimigo do clã [%s]"
438       "Guild [%s] entrou na aliança [%s]"
439       "Guild retirou da aliança"
440       "Guilds [%s] retirou da aliança [%s]"
441       "A Guild não é mais aliança [%s]"
442       "A Guild não é mais inimigo clã [%s]"
443       "Guild foi desfeita [%s]"
448       "Você não pode invocar Life Stone fora Castle Siege"
449       "Só aliança ofensiva pode invocar Life Stone"
450       "A Life Stone foi invocada"
451       "Você não pode invocar Life Stone dentro da Dragon Tower"
452       "A Life Stone foi invocada com sucesso"
453       "A Life Stone não conseguiu ser invocada"
464       "Você não pode invocar soldado fora de Castle Siege"
465       "Só aliança defensiva pode invocar o soldado"
466       "Só líder da guild e seu assistente podem invocar o soldado"
467       "O número máximo de soldados foi excedido"
468       "Soldier foi invocada com sucesso"
469       "Soldier não conseguiu ser invocada"
480       "Servidor fechado"
481       "Servidor se fechará automaticamente em %d segundo(s)"
482       "Este é um item duplicado, entre em contato com o administrador"
483       "Seu bloqueio de bate-papo terminou"
484       "Você vai sair jogo em %d segundo(s)"
485       "Auto-defesa contra [%s] começou"
486       "Auto defesa contra [%s] acabado"
487       "Servidor será desligado automaticamente em 1 minuto"
488       "Servidor será desligado automaticamente em 3 minutos"
489       "Servidor será desligado automaticamente em 5 minutos"
490       "O Jogo será iniciado automaticamente em 10 segundos"
491       "[%s] ganhou [ %d ] Jewel of Bless"
492	  "%s matou a Fenix"	
493       "Você ganhou %d ponto(s) de evento e %d Goblin(Ruud) Point(s)"
494       "%s matou um golden"
495       "Você ganhou %d ponto(s) de evento e %d Goblin(Ruud) Point(s)"
496       "%s matou o Erohin"
497       "Você ganhou %d ponto(s) de evento e %d Goblin(Ruud) Point(s)"
498       " "
499       "Remova os Errtels antes de colocar"
500	  "[Arka War] Evento começou. Você pode entrar conversando com Sir Lesnar"
501	  "[Arka War] Evento terminou"
502       "[Arka War] Evento começa em %d minuto(s)"
503       "[Arka War] A guild [%s] tomou a Torre!"
504       "[Arka War] Evento começa em %d"
505       " "
506       "[Arka War] Você não é membro de uma guild!"
507       "[Arka War] Sua guild já tomou a Torre!"
508       "[Arka War] Use o comando /control na cordenada 189 101"
509       "[Arka War] Sua guild deve ter no mínimo %d membros!"
510       "[Arka War] Parabéns! Sua guild conquistou a Torre!"
511       "[Arka War] %d minuto(s) para terminar!"
512 	  ""
513 	  "Inventório limpo com sucesso!"
514 	  "Proteja Lorencia!"
515       "%s matou %s"
516       "%s matou %s"
517       ""
518       "Você não tem permissão para utilizar o /setvip"
519       "Vip adicionado com sucesso!"
520       "Essa conta não existe!"
521       "%s Você não precisa mais da minha ajuda"
522       "%s Seu plano vip não permite o uso desse buff"
523       "%s Zen necessário: %d"
524       "%s PCPoints necessários: %d"
525       "%s Você precisa estar na família Vanert"
526       "%s Você precisa estar na família Duprian"
527       "%s Você precisa estar na família Duprian"
528       "%s Você precisa estar na família Vanert"
529       "%s Necessário pontos da família: %d"
530       "%s Tempo: %d Minutos(s)"
531       "%s Removido %d Zen"
532       "%s Removido %d Goblin(Ruud) Point(s)"
533       "%s Buff Aplicado!"

602 	  "Você não pode casar com você mesmo!"
603 	  "Você se casou com [%s]!"
604 	  "Você já está casado!"
605 	  "O Personagem já está casado!"
606 	  "Comandos: [/marry to NOME | /marry divorce | /marry track or trace]!"
607 	  "Você não pode se separar na primeira semana que se casou!"
608 	  "Você se separou!"
609 	  "Você não está casado!"
610 	  "Você foi até seu cônjugue!"
611 	  "Você puxou seu cônjugue!"
612 	  "[%s] se casou com [%s]!"
613 	  "[%s] se divorciou de [%s]!"
614 	  "[Marry System] Parabéns,"
615 	  "entre [%s] e [%s]!"
616 	  "[Marry System] Você deve se casar com personagem do sexo diferente!"
617 	  "Level necessário: [%d]!"
618 	  "O personagem deve estar no level [%d]!"
619 	  "Marry system está desabilitado!"
620 	  "Zen necessário: [%d]!"
621 	  "Você precisa estar na posição correta em Devias2!"
622 	  "O personagem precisa estar na posição correta em Devias2!"
623 	  "Info: [Level Minimo : %d | Custo Track&Trace : %d zen]!"
624 	  "Você não pode se separar se seu cônjugue estive offline!"
625 	  "O outro personagem está offline!"
626 	  "Skin [%d] applied to [%d] players!"
627 	  "Personagem [%]s não está online!"
628 	  " "
629 	  " "
630	  "Você precisa estar no level %d para usar esse comando!" 
631	  "Permitido usar apenas dentro da cidade!"
632	  "Você e se adversário precisam estar no level %d para duelar!"
633	  "Comando não habilitado para sua conta!" 
634 	  "Comando: [/classe dw, dk, elf, mg, dl, su, rf]"
635	  "Você deve escolher uma classe diferente da sua!" 
636	  "Você deve remover os itens do personagem primeiro!" 
637	  "Classe não disponível!"
638	  "Resets necessários: %d!"
639	  "[GM/ADM] [%s] está Online!"
640	  "[%s]: Entered Game!"
641       "Você não tem permissão para utilizar!"
642       "Personagem não encontrado!"
643 	  "Comando: [/premiar CHAR TIPO VALOR]"
644	  "Tipo do prêmio não disponível!"
645	  "Valor do prêmio maior que o permitido!"
646	  "Prêmio adicionado com sucesso!"
647	  "Você não pode premiar você mesmo!"
648 	  "Comando: [/reload tipo | Ex: /reload common]"
649 	  "Reload executado com sucesso!"
650 	  "Comando: [/premiarall TIPO VALOR]"
651 	  "O nome deve ter no máximo 10 letras."
652 	  "Esse nome já existe."
653       "Aguarde [%d] segundos para utilizar novamente."
654       "Esse nome já existe!"
655       "Nome alterado com sucesso!"
656       "Nome não alterado!"
657       "O personagem [%s] mudou o nome para [%s]!"
658       "Você deve sair da guild para trocar de nome."
659       "Você não pode utilizar agora."
660	  "[VELOZ] Começou em [%s]!"
661	  "[VELOZ] O evento termina em %d minuto(s)"
662	  "[VELOZ] O evento termina em %d segundo(s)"
663	  "[VELOZ] Vencedor [%s]!"
664	  "[VELOZ] Fim do evento - Não teve vencedor!"
665 	  "[VELOZ] Corra para as cord [x%d] [y%d]"
666	  "[VELOZ] Fim do evento - Evento cancelado"
667       "Erro ao banir!"
668       "Conta banida com sucesso!"
669       "Personagem banido com sucesso!"
670	  "[EVENTO] Fecha em [%d] segundo(s)"
671	  "[EVENTO] Tempo para participar acabou!"
672	  "[EVENTO] Cancelado!"
673	  "[EVENTO] [%s] iniciou um evento!"
674	  "[EVENTO] Digite /participar para entrar!"
675	  "[EVENTO] Participante [%s] adicionado!"
676	  "[ESCESC] Acaba em [%d] segundo(s)"
677	  "[ESCESC] Acabou sem vencendor!"
678	  "[ESCESC] Cancelado!"
679	  "[ESCESC] [%s] iniciou o evento!"
680	  "[ESCESC] Procure o GM e de trade!"
681	  "[ESCESC] [%s] venceu o evento!"
682	  "[ESCESC] O evento termina em [%d] minuto(s)!"
683	  "[PEGAPEGA] Fechou!"
684	  "[PEGAPEGA] Evento iniciado. Corre negada!"
685	  "[PEGAPEGA] Tempo esgotado!"
686	  "[PEGAPEGA] Cancelado!"
687	  "[PEGAPEGA] Abriu!"
688	  "[PEGAPEGA] Digite /queroir para participar!"
689	  "[PEGAPEGA] Participante [%s] adicionado!"
690	  "[PEGAPEGA] [%s] venceu o evento!"
691	  "[PEGAPEGA] [%s] foi pego!"
692	  "[QUEST] Precisa estar no level [%d] ou mais!"
693	  "[QUEST] Precisa ter [%d] Reset(s) ou mais!"
694	  "[QUEST] Precisa ter [%d] Master Reset(s) ou mais!"
695	  "[QUEST] Precisa ter [%d] zen ou mais!"
696	  "[QUEST] Deve ir para [%s] (x%d,y%d)!"
697	  "[QUEST] Não tem o plano vip necessário!"
698	  "[ ! ] Item necessário: [%s]!"
699	  "[QUEST] Deve caçar [%d %s] [Faltam: %d]!"
700	  "[QUEST] Quest Concluida!"
701	  "[QUEST] Concluida! Você ganhou: %d WC, %d HP, %d GP(Ruud)!"
702	  "Parabéns você recebeu um presente!"
703	  "Você já recebeu todos seus presentes!"
704	  "[RoletaRussa] Fechou!"
705	  "[RoletaRussa] Evento iniciado!"
706	  "[RoletaRussa] Tempo esgotado!"
707	  "[RoletaRussa] Cancelado!"
708	  "[RoletaRussa] Abriu (Max Participantes: %d)!"
709	  "[RoletaRussa] Digite /queroir para participar!"
710	  "[RoletaRussa] Participante %d: %s adicionado!"
711	  "[RoletaRussa] %s venceu o evento!"
712	  "[RoletaRussa] Colocando a bala no tambor...!"
713	  "[RoletaRussa] Girando o tambor...!"
714	  "[RoletaRussa] Engatilhando...!"
715	  "[RoletaRussa] FOGO!"
716	  "[RoletaRussa] HeadShot %s foi eliminado!"
717	  "[RoletaRussa] %s escapou ileso!"

718       "[Arka War] Entrega dos prêmios"
719       "[Arka War] A Guild [%s] venceu o evento"
720       "[Arka War] Dona tempo: [%d] minuto(s)"
721       "[Arka War] Todos membros da guild online ganharam:"
722       "[Arka War] [1000]  GP(Ruud)s"
723       "[Arka War] Players que mais consquistaram:"
724       "[Arka War] %d°: [%s] (Guild: %s)"
725       "[Arka War] Ganharam [500] GP(Ruud)s cada"
726       "[Arka War] Não teve vencedor"

730	  "Adicionado [%d] Wcoin(s) a sua conta!"
731	  "Adicionado [%d] Hunt Point(s) a sua conta!"
732	  "Adicionado [%d] Goblin(Ruud) Points a sua conta!"
733 	  "Comando: [/top tipo classe | Ex: /top rr dk]"
734 	  "Comando: [Classe: dk,dw,fe,mg,dl,sum,rf]"
735 	  "Sem resultados!"
736 	  "%d° Colocado: [%s] (%d)"
737 	  "Pontos redistribuidos"
738  	  "[%s] alcançou a patente [%s]!"
739  	  "Você alcançou a patente [%s]!"
740       "Estou desativado =("
741	  "Você precisa ter 64 peças do mesmo tipo no inventário"
742       "Muito obrigado, já peguei os itens e entreguei seu prêmio."
743       "Desculpe, não tenho interesse nesses itens."
744	  "Você trocou seus itens por prêmios!"
745	  "[%s] Começa em %d minuto(s)!"
746	  "[%s] Pergunta: Use /r [resposta]"
747	  "[%s] %s"
748	  "[%s] %s venceu o evento!"
749	  "[%s] Não teve vencedor!"
750	  "[%s] Resposta Errada!"
751	  "[%s] Ganhou 50 GP(Ruud)s"
752	  "[PickUp %s] Habilitado!"
753	  "[PickUp %s] Desabilitado!"
754	  "[PickUp] Desabilitado!"
755	  "[ReMaster] MasterSkillTree resetada!"
756	  "[ReMaster] MasterSkillTree precisa de level 400+"
757	  "[BuyVip] Você não tem o valor necessário para comprar!"
758	  "[BuyVip] Parabéns você assinou o %s!"
759	  "[BuyVip] O plano escolhido é inferior ao seu plano atual!"
760	  "Descontado [%d] WC da sua conta!"
761	  "Descontado [%d] HP da sua conta!"
762	  "Descontado [%d] GP(Ruud) da sua conta!"
763	  "Você não pode usar o custom attack com MuHelper ativo!"
764	  "Você não pode usar o MuHelper com custom attack ativo!"
765	  "Não pode usar acima do level: [%d]"
766	  "Valor para usar: [%d] WC!"
767	  "Valor para usar: [%d] HP!"
768	  "Valor para usar: [%d] GP(Ruud)!"
769	  "Equipe Alliance venceu o evento!"
770	  "Equipe Phanton venceu o evento!"
771	  "[OFFPVP] Ativado"
772	  "[OFFPVP] Desativado"
773	  "[Lock] Ativado - Itens bloqueados!"
774	  "[Lock] A senha deve conter no máximo 8 caracteres!"
775	  "[Lock] Já está ativado, utilize /unlock para desbloquear!"
776	  "[Lock] Desativado!"
777	  "[Lock] Senha inválida!"
778	  "[Lock] Ação bloqueada por senha!"
779	  "You can only activate the command in the safe zone"
780	  "Personal Shop is empty or items are without price"
781	  "ATTENTION!! All items in this store are sold for Jewel of Bless"
782	  "ATTENTION!! All items in this store are sold for Jewel of Soul"
783	  "ATTENTION!! All items in this store are sold for Jewel of Chaos"
784	  "ATTENTION!! All items in this store are sold for WCoin"
785	  "ATTENTION!! All items in this store are sold for Hunt Point"
786	  "ATTENTION!! All items in this store are sold for Goblin(Ruud) Point"
787     "You need to open the Personal Store before"                                                         
788     "The command will run during %d minute (s)"                                                          
789     "Time spent using /store ended"                                                                     
790     "[Attack] Disabled"                                                                                  
791     "[Attack] You can not use this location"                                                             
792     "[Attack] You do not have the skill needed to use"                                                   
793     "[Attack] Usage time: %d minute (s)"                                                                 
794     "[Attack] Timing"                                                                                    
795     "[Attack] Enabled"                                                                                   
796     "[OffAttack] You must enable /attack before"                                                        
797     "[OffAttack] You can not use this location"                                                          
798     "This Guild does not exist!"                                                                         
799     "[PvP] Time is running out!"                                                                         
800     "[PvP] Canceled!"                                                                                    
801     "[PvP] %s x %s started!"                                                                             
802     "[PvP] %s %d x %d %s!"                                                                               
803     "[PvP] %s won the event!"                                                                            
804     "[PvP] Started!"                                                                                     
805     "[MataMata] Closed!"                                                                                 
806     "[MataMata] Event started!"                                                                          
807     "[MataMata] Time is running out!"                                                                    
808     "[MataMata] Canceled!"                                                                               
809     "[MataMata] opened (Max Participants: %d)!"                                                          
810     "[MataMata] Type /want to join!"                                                                    
811     "[MataMata] Player %d: %s added!"                                                                    
812     "[MataMata] 1st - %s ( %d points)!"                                                                  
813     "[MataMata] 2nd - %s ( %d points)!"                                                                  
814     "[MataMata] 3rd - %s ( %d points)!"                                                                  
815     "[MataMata] Your position: %do ( %d points)!"                                                        
816     "[MataMata] Score: %d points!"                                                                       
817     "New name contains text not allowed!"                                                                
818     "Required: %d master reset (s)."                                                                     
819     "Not allowed with %d master or +"                                                                    
820     "Command: [/pack (soul, bless, etc) (10,20,30)]"                                                    
821     "Command: [/unpack (soul, bless, etc) (10,20,30)]"                                                  
822     "You do not have the required item (s)."                                                             
823     "Command completed successfully."                                                                    
824     "You do not have room in the inventory."                                                             
825     "[TvTEvent] closes in %d minute (s)"                                                                 
826     "Entry for Event Team vs Team"                                                                       
827     "[TvTEvent] closed!"                                                                                 
828     "[TvTEvent] starts in %d minute (s)"                                                                 
829     "[TvTEvent] started!"                                                                                
830     "[TvTEvent] is over!"                                                                                
831     "[TvTEvent] You can not enter!"                                                                      
832     "[TvTEvent] Is not open!"                                                                            
833     "[TvTEvent] You do not have the required item to enter!"                                             
834     "You do not have the necessary value to buy!"                                                        
835     "Not allowed in Trade!"                                                                              
836     "Discounted %d Zen for using the command!"                                                           
837     "Value to use: %d WC, %d WP, %d GP!"                                                                 
838     "Re-enter the command if you want to use!"                                                           
839     "Another guild user has the chest open!"                                                             
840     "You are not allowed to use the Guild Chest!"                                                        
841     "%s banned character %s for %d days!"                                                                
842     "%s banned character account %s for %d days!"                                                        
843     "[AntiHack] SpeedHack usage detected!"                                                               
844     "[Trade] Value Needed: %d Zen!"                                                                      
845     "[Trade] Value needed: %d WC!"                                                                       
846     "[Trade] Value Needed: %d WP!"                                                                       
847     "[Trade] Value Needed: %d GP!"                                                                       
848     "[Trade] %s does not have the necessary value!"
849     "[QUEST %d] Requerido %d ¡Efectivo para realizar!"
850     "[QUEST %d] ¡Se requiere %d Gold para funcionar!"
851     "[QUEST %d] Se requiere %d PcPoint para realizarlo"
852     "[QUEST %d] ¡No hay espacio en el inventario para recibir su premio!"
